id,v0,v1
Barcelona,0,0
Madrid,504.640,0
Paris,-161.945,815.669
Brussels,-339.834,1007.099
London,-46.716,1136.710
Dublin,308.230,1436.596
Hamburg,-759.557,1260.639
Berlin,-981.659,1131.009
Prague,-1048.680,856.339
Vienna,-1184.354,642.552
Budapest,-1388.211,565.016
Belgrade,-1504.680,266.685
Sofia,-1745.149,37.428
Bucharest,-1952.014,253.611
Istanbul,-2227.927,-105.424
Kiev,-2183.617,974.157
Warsaw,-1500.011,1103.739
Copenhagen,-939.818,1485.156
Stockholm,-1267.110,1891.278
Saint Petersburg,-1948.402,2028.992
Moscow,-2498.307,1673.346
Munich,-829.395,651.290
Milan,-624.447,368.598
Rome,-855.261,-49.469
