24,2
Barcelona,1202.387709690923,-565.9532697258028
Belgrade,-325.1323735093467,-622.3363523662513
Berlin,-2.149157499119424,323.0117982940257
Brussels,649.2680148725975,343.6272726807894
Bucharest,-761.5646577713737,-722.829455147683
Budapest,-273.6383122878427,-310.2901329739812
Copenhagen,-43.67262901710674,674.2986625598002
Dublin,1172.35774104724,911.2482574655743
Hamburg,183.5181234980379,497.0192715132857
Istanbul,-962.6571590399197,-1119.565089150634
Kiev,-1137.29094276809,-77.51958756130942
London,902.7554917893671,535.9467540471934
Madrid,1694.582869644769,-454.8865989021188
Milan,514.4493811451322,-340.7521898028314
Moscow,-1596.182022355665,524.8627378635535
Munich,253.3324240841895,-109.5574697477337
Paris,865.8744652626118,196.6365626945335
Prague,-5.584848574473863,42.61431034615134
Rome,376.3427927917243,-796.2625689665234
Saint Petersburg,-1147.21514803883,976.4181575698746
Sofia,-514.9644275934725,-891.0050915318533
Stockholm,-456.8327010667334,992.7248376847964
Vienna,-91.04669737436865,-193.2160484604179
Warsaw,-499.911426948041,186.0994377397661
